,Unnamed: 0,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score,Word,SUBTLWF,freq_lcnl_extended,freq_lcnl_extended_log,freq_lcnl_extended_log_flipscale,score_extended
3109,42,3k,ale,2.0,0.47712125471966244,3.503609121816283,10.16,4.31,4.064,0.0,2.0,1.0,True,True,True,24.174436487265133,ale,3.9607843137254903,2.0,0.47712125471966244,3.503609121816283,24.174436487265133
1613,4057,3k,lodge,#N/A,#N/A,#N/A,8.26,2.77,3.304,3.0,8.0,8.0,False,True,False,#N/A,lodge,6.686274509803922,0.00016727748293009323,7.2641612299504e-05,3.980657734923646,24.182630939694583
3394,8303,3k,whiz,#N/A,#N/A,#N/A,8.26,2.84,3.304,0.0,0.0,2.0,False,True,False,#N/A,whiz,3.9019607843137254,9.761941085949721e-05,4.2393502282235714e-05,3.980687983033663,24.18275193213465
2737,6753,3k,sphere,#N/A,#N/A,#N/A,8.26,2.58,3.304,1.0,0.0,4.0,False,True,False,#N/A,sphere,2.4705882352941178,6.180927521757111e-05,2.6842597605234827e-05,3.9807035339383403,24.18281413575336
3110,3496,3k,jade,2.0,0.47712125471966244,3.503609121816283,10.17,2.57,4.0680000000000005,12.0,4.0,1.0,True,True,True,24.18443648726513,#N/A,#N/A,2.0,0.47712125471966244,3.503609121816283,24.18443648726513
3290,7025,lcnl,stern,1.0,0.3010299956639812,3.679700380871964,9.47,2.76,3.7880000000000003,0.0,3.0,7.0,True,True,True,24.188801523487857,#N/A,#N/A,1.0,0.3010299956639812,3.679700380871964,24.188801523487857
3031,7457,lcnl,term,#N/A,#N/A,#N/A,8.28,1.64,3.312,0.0,1.0,4.0,False,True,False,#N/A,term,17.45098039215686,0.00043658932494951015,0.0001895669562392125,3.9805408095797064,24.202163238318825
1871,4656,3k,noose,#N/A,#N/A,#N/A,8.28,3.54,3.312,#N/A,#N/A,#N/A,False,True,False,#N/A,noose,2.176470588235294,5.4451028167860254e-05,2.3647137267661406e-05,3.9807067293986775,24.20282691759471
2589,6402,unl,slaw,#N/A,#N/A,#N/A,8.28,3.29,3.312,#N/A,#N/A,#N/A,False,True,False,#N/A,slaw,0.3333333333333333,8.339346656338957e-06,3.621717134169849e-06,3.980726754818811,24.202907019275244
646,1607,3k,damn,#N/A,#N/A,#N/A,8.3,2.23,3.32,0.0,5.0,7.0,False,True,False,#N/A,damn,283.52941176470586,0.007093350155921254,0.0030697283277944234,3.977660648208151,24.210642592832606
3224,7894,lcnl,tush,#N/A,#N/A,#N/A,8.289175,4.94,3.31567,#N/A,#N/A,#N/A,False,True,False,#N/A,tush,1.2941176470588236,3.2376287018727724e-05,1.4060615182703541e-05,3.9807163159207626,24.21204026368305
3113,2329,unl,fleece,2.0,0.47712125471966244,3.503609121816283,10.2,3.81,4.08,0.0,0.0,1.0,True,True,True,24.214436487265132,fleece,1.1568627450980393,2.0,0.47712125471966244,3.503609121816283,24.214436487265132
3301,5283,3k,prowl,1.0,0.3010299956639812,3.679700380871964,9.5,2.41,3.8,#N/A,#N/A,#N/A,True,True,True,24.218801523487855,prowl,1.2941176470588236,1.0,0.3010299956639812,3.679700380871964,24.218801523487855
944,2335,3k,flesh,#N/A,#N/A,#N/A,8.3,2.62,3.32,3.0,6.0,15.0,False,True,False,#N/A,flesh,22.058823529411764,0.0005518685287283134,0.00023960734696525375,3.98049076918898,24.22196307675592
3119,4091,3k,loot,2.0,0.47712125471966244,3.503609121816283,10.21,3.68,4.084,1.0,1.0,0.0,True,True,True,24.22443648726513,loot,3.549019607843137,2.0,0.47712125471966244,3.503609121816283,24.22443648726513
3120,8267,lcnl,whey,2.0,0.47712125471966244,3.503609121816283,10.22,4.18,4.088,#N/A,#N/A,#N/A,True,True,True,24.234436487265132,whey,0.0784313725490196,2.0,0.47712125471966244,3.503609121816283,24.234436487265132
2946,2518,3k,fret,4.0,0.6989700043360189,3.2817603721999267,11.11,3.5,4.444,#N/A,#N/A,#N/A,True,True,True,24.237041488799704,fret,1.8627450980392157,4.0,0.6989700043360189,3.2817603721999267,24.237041488799704
2834,6976,3k,starve,#N/A,#N/A,#N/A,8.32,2.63,3.3280000000000003,7.0,8.0,7.0,False,True,False,#N/A,starve,6.1568627450980395,0.0001540326382406137,6.689037330277444e-05,3.9806634861626424,24.24265394465057
433,1083,3k,chrome,#N/A,#N/A,#N/A,8.32,3.28,3.3280000000000003,#N/A,#N/A,#N/A,False,True,False,#N/A,chrome,1.2745098039215685,3.188573721541366e-05,1.3847578955134842e-05,3.9807165289569904,24.24286611582796
1548,3875,3k,law,#N/A,#N/A,#N/A,8.33,2.56,3.332,19.0,28.0,40.0,False,True,False,#N/A,law,116.31372549019608,0.002909941433258982,0.0012619363159279019,3.9794684402200176,24.24787376088007
1397,3420,3k,hunk,#N/A,#N/A,#N/A,8.33,3.43,3.332,#N/A,#N/A,#N/A,False,True,False,#N/A,hunk,5.1568627450980395,0.00012901459827159684,5.602671405999283e-05,3.9806743498218853,24.25269739928754
2756,6795,lcnl,splotch,#N/A,#N/A,#N/A,8.33,3.34,3.332,#N/A,#N/A,#N/A,False,True,False,#N/A,splotch,0.0784313725490196,1.9621992132562254e-06,8.521714546812757e-07,3.9807295243644907,24.252918097457965
3121,1257,3k,clutch,2.0,0.47712125471966244,3.503609121816283,10.24,2.43,4.096,1.0,1.0,1.0,True,True,True,24.25443648726513,clutch,2.4901960784313726,2.0,0.47712125471966244,3.503609121816283,24.25443648726513
3308,4414,3k,moist,1.0,0.3010299956639812,3.679700380871964,9.55,3.24,3.82,0.0,3.0,11.0,True,True,True,24.26880152348786,moist,1.803921568627451,1.0,0.3010299956639812,3.679700380871964,24.26880152348786
3193,7823,3k,troop,#N/A,#N/A,#N/A,8.35,1.84,3.34,1.0,2.0,6.0,False,True,False,#N/A,troop,5.803921568627451,0.00014520274178096067,6.305617165897801e-05,3.9806673203642866,24.272669281457148
152,385,3k,bland,#N/A,#N/A,#N/A,8.35,3.67,3.34,0.0,0.0,0.0,False,True,False,#N/A,bland,1.0784313725490196,2.6980239182273097e-05,1.1717210931458699e-05,3.980718659325014,24.272874637300056
3311,5925,lcnl,scowl,1.0,0.3010299956639812,3.679700380871964,9.56,3.07,3.824,#N/A,#N/A,#N/A,True,True,True,24.278801523487857,scowl,0.5098039215686274,1.0,0.3010299956639812,3.679700380871964,24.278801523487857
3310,3208,3k,heir,1.0,0.3010299956639812,3.679700380871964,9.56,2.91,3.824,1.0,0.0,0.0,True,True,True,24.278801523487857,heir,5.215686274509804,1.0,0.3010299956639812,3.679700380871964,24.278801523487857
2963,3072,3k,hack,4.0,0.6989700043360189,3.2817603721999267,11.16,4.72,4.4639999999999995,#N/A,#N/A,#N/A,True,True,True,24.28704148879971,hack,8.549019607843137,4.0,0.6989700043360189,3.2817603721999267,24.28704148879971
