,source,word,freq_lcnl,aoa_mean,aoa_sd,tasa_1,tasa_2,tasa_3,max tasa,,,,,,,,,
4745,lcnl,or,311,4.143602,1.25,931,1553,2536,2536,FALSE,FALSE,TRUE,3,,,,,
3361,3k,horse,37,4.15,1.46,246,233,232,246,TRUE,FALSE,FALSE,1,,,,,
3755,3k,knife,6,4.15,1.8,20,46,42,46,FALSE,TRUE,FALSE,2,,,,,
3821,3k,lamb,8,4.15,1.81,24,16,14,24,TRUE,FALSE,FALSE,1,,,,,
6474,3k,slow,65,4.15,1.76,105,81,77,105,TRUE,FALSE,FALSE,1,,,,,
7306,3k,swing,14,4.16,2.03,19,24,22,24,FALSE,TRUE,FALSE,2,,,,,
8128,3k,want,169,4.16,2.32,2034,1248,985,2034,TRUE,FALSE,FALSE,1,,,,,
1292,3k,coin,4,4.17,1.25,8,10,10,10,FALSE,TRUE,TRUE,2,,,,,
2166,3k,feed,13,4.17,1.58,86,75,65,86,TRUE,FALSE,FALSE,1,,,,,
6369,3k,sky,104,4.17,1.89,404,254,205,404,TRUE,FALSE,FALSE,1,,,,,
6572,lcnl,sneeze,24,4.17,1.58,2,2,3,3,FALSE,FALSE,TRUE,3,,,,,
7303,3k,swim,22,4.17,1.72,237,115,75,237,TRUE,FALSE,FALSE,1,,,,,
7962,lcnl,us,177,4.18623,2.07,997,883,909,997,TRUE,FALSE,FALSE,1,,,,,
1727,3k,dig,33,4.19,2.34,108,52,45,108,TRUE,FALSE,FALSE,1,,,,,
728,3k,brown,77,4.196887,1.31,264,162,151,264,TRUE,FALSE,FALSE,1,,,,,
5941,3k,scream,8,4.2,1.58,11,20,16,20,FALSE,TRUE,FALSE,2,,,,,
7287,3k,sweep,5,4.2,1.61,1,8,13,13,FALSE,FALSE,TRUE,3,,,,,
295,3k,bench,1,4.21,1.81,55,30,29,55,TRUE,FALSE,FALSE,1,,,,,
4867,3k,peach,8,4.21,1.27,7,15,8,15,FALSE,TRUE,FALSE,2,,,,,
1037,3k,chin,16,4.22,4.1,26,24,28,28,FALSE,FALSE,TRUE,3,,,,,
1322,3k,cook,15,4.22,1.31,161,76,53,161,TRUE,FALSE,FALSE,1,,,,,
5555,3k,rest,49,4.22,2.53,199,221,235,235,FALSE,FALSE,TRUE,3,,,,,
5683,3k,room,97,4.22,1.44,849,710,718,849,TRUE,FALSE,FALSE,1,,,,,
5854,3k,scare,4,4.22,1.26,35,21,10,35,TRUE,FALSE,FALSE,1,,,,,
6511,3k,smell,36,4.22,1.44,112,113,94,113,FALSE,TRUE,FALSE,2,,,,,
6941,lcnl,stairs,36,4.22,1.86,93,95,75,95,FALSE,TRUE,FALSE,2,,,,,
6988,3k,stay,36,4.22,2.21,438,348,301,438,TRUE,FALSE,FALSE,1,,,,,
7115,3k,straw,11,4.22,1.26,38,47,35,47,FALSE,TRUE,FALSE,2,,,,,
7811,3k,trip,22,4.22,1.9,117,120,120,120,FALSE,TRUE,TRUE,2,,,,,
8353,3k,win,13,4.22,1.31,138,88,65,138,TRUE,FALSE,FALSE,1,,,,,
