,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score
4734,lcnl,on,1441,7.273092596,2.065023982,4.005061,1.28,1.6020244,6973,6540,7316,TRUE,TRUE,TRUE,3.667048382
46,lcnl,alms,#N/A,#N/A,#N/A,9.91,3.99,3.964,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
47,lcnl,alp,#N/A,#N/A,#N/A,11.77,3.83,4.708,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
51,lcnl,amp,#N/A,#N/A,#N/A,12.11,2.42,4.844,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
7954,lcnl,up,886,6.786716951,2.59566195,2.918047,1.68,1.1672188,4654,3827,3805,TRUE,TRUE,TRUE,3.76288075
56,3k,angst,#N/A,#N/A,#N/A,13.12,2.92,5.248,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2451,3k,for,1177,7.070724107,2.285808893,4.388713,1.97,1.7554852,5851,5615,6423,TRUE,TRUE,TRUE,4.041294093
45,3k,all,1080,6.98471632,2.379643767,4.239515,1.4,1.695806,3931,3788,3965,TRUE,TRUE,TRUE,4.075449767
64,unl,apse,#N/A,#N/A,#N/A,12.743801,3.71,5.0975204,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
4290,3k,me,757,6.629363253,2.767335526,3.280385,1.5,1.312154,4027,2813,2606,TRUE,TRUE,TRUE,4.079489526
66,3k,arc,#N/A,#N/A,#N/A,9.418817,3.52,3.7675268,0,0,2,FALSE,TRUE,FALSE,
8382,3k,with,1127,7.027314514,2.33316895,4.441998,1.59,1.7767992,4181,4111,5084,TRUE,TRUE,TRUE,4.10996815
69,unl,arched,#N/A,#N/A,#N/A,9.89,4.57,3.956,0,0,1,FALSE,TRUE,FALSE,
4736,3k,one,682,6.525029658,2.881163938,3.2271,1.31,1.29084,3476,3331,3711,TRUE,TRUE,TRUE,4.172003938
4758,3k,out,694,6.542471961,2.862134309,3.280385,1.56,1.312154,3825,3455,3520,TRUE,TRUE,TRUE,4.174288309
76,unl,armed,#N/A,#N/A,#N/A,8.72,3.61,3.488,0,1,3,FALSE,TRUE,FALSE,
817,3k,but,1097,7.00033446,2.362604308,4.601853,2.45,1.8407412,5172,4711,5113,TRUE,TRUE,TRUE,4.203345508
4668,3k,not,830,6.721425701,2.666894991,3.887834,2.22,1.5551336,5662,3814,4116,TRUE,TRUE,TRUE,4.222028591
83,lcnl,arts,#N/A,#N/A,#N/A,5.965949,2.25,2.3863796,1,1,1,FALSE,TRUE,FALSE,
4636,3k,no,534,6.280395839,3.148060511,2.715564,1.94,1.0862256,2612,2188,2165,TRUE,TRUE,TRUE,4.234286111
85,3k,ash,#N/A,#N/A,#N/A,6.626683,2.54,2.6506732,3,4,5,FALSE,TRUE,FALSE,
